Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
CASPER,Ocean Observatory Initiative (OOI),http://casper.jpl.nasa.gov/,"CASPER is capable of executing ASPEN generated mission plans in continuous (embedded, non-interactive) mode. Part of mission execution is observing environmental and resource state (such as battery power), triggering activities and compensating for any failure scenarios within the scope of execution. ",cicomponentREview,execution environment,workflow management,operational,Data Systems,NASA JPL,,,,,,,,,,CASPER,globe.jpg,execution environment
CEH Information Gateway,,https://gateway.ceh.ac.uk/home,"Vocabulary to describe capabilities.
This is a capability meta-model that is presented as an rdf schema for describing capabilities as an action verb and a set of attributes. Additionaly, this schema defines the possible attribute value types that can be considered when modelling capabilities: ConditionalValue, ConstrainedValue, EnumerationValue, DynamicValue and RangeValue (Source: DERI)",,catalog,data access,Community-Established,BiologicalSpeciesEcology,Centre for Ecology and Hydrology,,,,,,,,,,CEH Information Gateway,icon_catalog.jpg,catalog
CeNCOOS water monitoring subset and extension of CF parameter vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/cencoos/parameter,"Vocabulary for describing water time-series data. 
Vocabulary of water time-series data. It is a subset of the CF vocabulary that is extended where the CF vocabulary is insufficient (Source: MMI)
",,vocabulary,information exchange,Community-Established,Hydrology,Central and Northern California Ocean Observing System,,,,,,,,,,CeNCOOS water monitoring subset and extension of CF parameter vocabulary,vocabulary.jpg,vocabulary
Center for Operational Oceanographic Products and Services (CO-OPS) Quality Control Flag Definitions,,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/CO-OPSqcFlags,A list of NOAA's Center for Operational Oceanographic Products and Services (CO-OPS) quality control flags.,hli,vocabulary,information exchange,Published Standard,Ocean Science,NOAA IOOS,,,,,,,,,,Center for Operational Oceanographic Products and Services (CO-OPS) Quality Control Flag Definitions,vocabulary.jpg,vocabulary
Central Irminger Sea Mooring (FIXO3 CIS),Fixed point Open Ocean Observatory network (FixO3),http://www.geomar.de/en,"Multidisciplinary mooring, located in the Central Irminger Sea, Subpolar North Atlantic and part of the FP7 NACLIM project. The site is located in the centre of the Irminger Gyre, characterized by particular deep winter mixed layer depth. The mixed layer deepening is promoted through the combination of the cyclonic circulation of the Irminger gyre and strong surface buoyancy forcing in winter. Focus of the interdisciplinary research is on the biogeochemical cycling in a potential deep water formtion area. The physical background field (Temperature, Salinity, Currents) of the upper 1500m is surveyed with a number of sensors. Moreover, biogeochemical sensors (O2, Chl-a, zooplankton) is measured in mixed layer. The site area is shared with the LOCO mooring established by the NIOZ in 2002. The sampling and logistics of the moorings is coordinated with the NACLIM project. In Septmber 2014 the US OOI initiative will erect in the area the global node “Irminger Sea”.  ",hli,platform,data acquisition,Conceptual,Ocean Science,Fixed-point Open Ocean Observatories,,,,,,,,,,Central Irminger Sea Mooring (FIXO3 CIS),globe.jpg,platform
Central Web Service Registry,Hydrology information System (HIS),http://hiscentral.cuahsi.org/webservices/hiscentral.asmx?WSDL,catalog of services. Links to a XML file,,catalog,data access,AdHoc,Hydrology,CUAHSI,,,,,,,,,,Central Web Service Registry,icon_catalog.jpg,catalog
CEOS International Directory Network,,http://www.ceos.org/index.php?option=com_content&view=category&layout=blog&id=148&Itemid=213,"a Gateway to the world of Earth Science data and services.  The CEOS IDN is an international effort developed to assist researchers in locating information on available datasets and services.  The directory is sponsored as a service to the Earth science community.  To view the full content of the CEOS IDN Master Directory's data sets and/or data services, please visit the CEOS portal.  Subsets of the directory content that focus on specific projects or contributing organizations can be viewed below under the topic, ""IDN Portals"".",,organization,data access,Operational,Earth Surface,Digital Curation Center,,,,,,,,,,CEOS International Directory Network,comunity.jpg,organization
CERIF ,,http://www.eurocris.org/Index.php?page=CERIFintroduction&t=1 | http://www.eurocris.org/Uploads/Web%20pages/CERIF-1.6/documentation/MInfo.html,"A standard intended as a data exchange format, based on records describing projects, with persons and organisational units as attributes. Its essential features are: (a) it has the concept of objects or entities with attributes such as project, person, organisational unit; (b) it supports n:m relationships between them (and recursively on any of them) using 'linking relations' thus providing rich semantics including roles and time; (c) it is fully internationalised in language and character set; (d) it is extensible without prejudicing the core datamodel thus providing guaranteed interoperability at least at the core level but not precluding even richer intercommunication. It is designed for use both for data exchange (data file transfer) and for heterogeneous distributed query / result environments. 2006-- introduced a Semantic Layer that makes the model flexible and scalable for application in very heterogeneous environments.  Current versionis CERIF 1.6 (2013).",hli,Information Model,data acquisition,Published Standard,Science,European Current Research Information Systems,,,,,,,,,,CERIF ,infomrationModel.jpg,Information Model
CF Compliance Checker,,http://cfconventions.org/compliance-checker.html,This utility checks that a netCDF file which you supply complies with the CF comformance requirements and recommendations. Look here for a list of checks that still need to be implemented and any other suggestions for improvements that have been received.,hli,application,validation,Unknown,Climate,CF Metadata,,,,,,,,,,CF Compliance Checker,globe.jpg,application
CFChecker,Desktop cross platform,http://pypi.python.org/pypi/cfchecker/2.0.2,"The 'cfchecks.py' script checks that the contents of a NetCDF file comply with the Climate and Forecasts (CF) Metadata Convention. The CF-checker was developed at the Hadley Centre for Climate Prediction and Research, UK Met Office by Rosalyn Hatcher. This work was supported by PRISM (PRogramme for Integrated Earth System Modelling).

Development and maintenance for the CF-checker has now been taken over by the NCAS Computational Modelling Services (NCAS-CMS). If you have suggestions for improvement then please e-mail Rosalyn Hatcher at NCAS-CMS (r.s.hatcher@reading.ac.uk).",cicomponentREview,application,validation,operational,Climate,NCAS Computational Modelling Services (NCAS-CMS) / University of Reading,,,,,,,,,,CFChecker,globe.jpg,application
CGI vocabularies,IUGS CGI,,Collection of vocabularies for populating geoscience data interchange documents,cicomponentREview,vocabulary,information exchange,operational,,,,,,,,,,,,CGI vocabularies,vocabulary.jpg,vocabulary
Chartr - the chart vocabulary,,http://vocab.deri.ie/chartr,,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Chartr - the chart vocabulary,vocabulary.jpg,vocabulary
Chef/Chef solo,Ocean Observatory Initiative (OOI),http://wiki.opscode.com/display/chef/Home,"Chef is a configuration management system that allows VM and server management by ""writing code, not running commands."" It is based around the concept of small, reuseable, ""recipes"" that make changes on a system.",cicomponentREview,component,virtual machine deployment,operational,Global,Opscode,,,,,,,,,,Chef/Chef solo,globe.jpg,component
Chemical Entities of Biological Interest (ChEBI),,http://www.ebi.ac.uk/chebi/,"Chemical Entities of Biological Interest (ChEBI) is a freely available dictionary of molecular entities focused on ‘small’ chemical compounds. 
",,vocabulary,information exchange,Community-Established,Biology,European Bioinformatics Institute,,,,,,,,,,Chemical Entities of Biological Interest (ChEBI),vocabulary.jpg,vocabulary
ChloroGIN,,http://www.chlorogin.org/world/,"ChloroGIN is an international network to assess the state of marine, coastal and inland-water ecosystems for the benefit of society; promoting for that purpose in-water observations in synergy with ocean-colour and related satellite observations.",,system,,Community-Established,BiologicalSpeciesEcology,ChloroGIN,,,,,,,,,,ChloroGIN,globe.jpg,system
Chronopolis ,,http://libraries.ucsd.edu/chronopolis/,"Spanning academic institutions and disciplines, the Chronopolis digital preservation network provides services for the long-term preservation and curation of America's digital holdings. Because of the ephemeral nature of digital information, it is critical to organize and preserve the digital assets that represent society's intellectual capital—the core seeds of knowledge that are the basis of future research and education",cicomponentREview,repository,data management,operational,Generic,,,,,,,,,,,Chronopolis ,database.jpg,repository
