Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
CSDGM Extensions for Remote Sensing Metadata,,http://www.fgdc.gov/standards/projects/FGDC-standards-projects/csdgm_rs_ex/MetadataRemoteSensingExtens.pdf,"The purpose of these Extensions for Remote Sensing Metadata (hereafter Remote Sensing Extensions) is to provide a common terminology and set of definitions for documenting geospatial data obtained by remote sensing, within the framework of the FGDC (1998) Content Standard for Digital Geospatial Metadata (hereafter FGDC Metadata Content Standard or simply base standard). Creating these Remote Sensing Extensions will provide a means to use standard FGDC content to describe geospatial data derived from remote sensing measurements.",High level inventory Pivot Viewer,Specification,DCC,Conceptual,Remote sensing,Digital Curation Centre,,,,,,,,,,CSDGM Extensions for Remote Sensing Metadata,globe.jpg,http://www.fgdc.gov/standards/projects/FGDC-standards-projects/csdgm_rs_ex/MetadataRemoteSensingExtens.pdf
CSDMS Standard Names,Community Surface Dynamics Modeling System (CSDMS),http://csdms.colorado.edu/wiki/CSDMS_Standard_Names,"The CSDMS Standard Names (CSN) are a set of naming conventions and controlled vocabularies for constructing standardized names for the variables and assumptions that are required to describe geoscience computational models. These standard names follow a well-defined set of rules and are designed to be unambiguous, and readable/parsable by both humans and machines. Model developers and dataset providers provide simple mappings from the variable names or abbreviations they use internally to corresponding standardized names in a hub-and-spoke approach. This enables automatic semantic mediation when models and data sets are coupled within a modeling framework. Standardized variable names are constructed from a hierarchical object names and quantity names. Quantity names include a base quantity (i.e. base class) and may begin with one or more mathematical operations. There are separate controlled vocabularies for the base quantity names, full quantity names and operations. Five different delimiters allow names to be easily machine-parsed into all of their parts. In addition to over 2600 variable names that span the geosciences, there is also a growing collection of standardized CSN ""assumption"" names for describing models in detail. Crosswalks from the CSN variable names to both the CUAHSI and CF Convention standard names are under development. CSN is available in OWL and RDF formats to simplify ingestion by other tools and systems.",ScottPeckham,Specification,mediation,Community-Established,Earth Science,CSDMS,"Peckham, S.D. (2014) The CSDMS Standard Names:  Cross-domain naming conventions for describing process models, data sets and their associated variables, Proceedings of the 7th Intl. Congress on Env. Modelling and Software, International Environmental Modelling and Software Society (iEMSs), San Diego, CA. (Eds.  D.P. Ames, N.W.T. Quinn, A.E. Rizzoli), http://www.iemss.org/society/index.php/iemss-2014-proceedings.",,,,,,,"OWL, RDF, wiki",,CSDMS Standard Names,vocabulary.jpg,http://csdms.colorado.edu/wiki/CSDMS_Standard_Names
CSP - A vocabulary to represent Constraint Satisfaction Problems.,,http://vocab.deri.ie/csp,A vocabulary to represent Constraint Satisfaction Problems (CSPs) in which constraints are expressed by Boolean expressions on fluents.,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,CSP - A vocabulary to represent Constraint Satisfaction Problems.,vocabulary.jpg,http://vocab.deri.ie/csp
CUAHSI GeoWS services,SDSC-CUAHSI,http://ecrest.azurewebsites.net/,Access to hydrologic metadata and data from multiple sources in CUAHSI HIS,IlyaZaslavsky,API,Data access,Beta,Hydrology,CUAHSI,,EarthCube GeoWS REST,"CSV, XML",,,"CSV, XML, JSON","ODM/ODM2, WaterML",,,CUAHSI GeoWS services,globe.jpg,http://ecrest.azurewebsites.net/
CUAHSI HIS Central - Website,,http://hiscentral.cuahsi.org/,CUAHSI HIS Central catalogs WaterOneFlow services at the Data Series granularity. It provides SOAP services to access this central catalog.,NotDocumented,Web site,Data access,AdHoc,Hydrology,CUAHSI,,,,,,,,,,CUAHSI HIS Central - Website,globe.jpg,http://hiscentral.cuahsi.org/
CUAHSI Vocabularies,,http://hiscentral.cuahsi.org/startree.aspx,java web app that provides browsing of vocabs (couldn't get it to work on Chrome),NotDocumented,Catalog,,None,Hydrology,CUAHSI,,,,,,,,,,CUAHSI Vocabularies,icon_catalog.jpg,http://hiscentral.cuahsi.org/startree.aspx
CUAHSI WaterML 1.0,,http://river.sdsc.edu/Wiki/WaterML.ashx,,High level inventory Pivot Viewer,Interchange Format,,Community-Defacto,Hydrology,CUAHSI,,,,,,,,,,CUAHSI WaterML 1.0,globe.jpg,http://river.sdsc.edu/Wiki/WaterML.ashx
CZO Central,,http://central.criticalzone.org/,"This website is for use by CZO data managers. It supports the sharing of point time series data collected and published by CZO sites. The CZO version of the data publication model includes the following steps: --CZO data manager places CZO display files on a web server. --For each CZO site, the Central repository application regularly reads the configuration display file and harvests the newly uploaded display files into a CZO database on the central server. ---Water data web services for each CZO site are updated with the new data, and become available to client applications. --Optionally, CZO data managers login to CZO Central and associate the newly uploaded variable names with a Hydrologic ----Concept Ontology or edit other web service characteristics. --Datasets are subsequently registered at the CZO portal site.",Original CIComponent Compilation,Web site,Data access,,,,,,,,,,,,,CZO Central,globe.jpg,http://central.criticalzone.org/
D2RQ,,http://d2rq.org,"java servlet on Postgres, deploys triple store (doesn't scale to millions)",Original CIComponent Compilation,Component,,,,,,,,,,,,java,,D2RQ,globe.jpg,http://d2rq.org
Darwin Core,,http://www.tdwg.org/standards/450/,"The Darwin Core is body of standards. It includes a glossary of terms (in other contexts these might be called properties, elements, fields, columns, attributes, or concepts) intended to facilitate the sharing of information about biological diversity by providing reference definitions, examples, and commentaries. The Darwin Core is primarily based on taxa, their occurrence in nature as documented by observations, specimens, and samples, and related information. Included are documents describing how these terms are managed, how the set of terms can be extended for new purposes, and how the terms can be used. keywords: biodiversity",High level inventory Pivot Viewer,Specification,,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Darwin Core,globe.jpg,http://www.tdwg.org/standards/450/
Darwin Core Geospatial Extension,,http://rs.tdwg.org/dwc/tdwg_dw_geospatial.xsd | http://wiki.tdwg.org/twiki/bin/view/DarwinCore/GeospatialExtension,Geospatial extension for Darwin Core Metadata. A protocol-independent XML schema for a geospatial extension to the Darwin Core.,High level inventory Pivot Viewer,Specification,,Conceptual,Various,Biodiversity Information Standards (TDWG),,,,,,,,,,Darwin Core Geospatial Extension,globe.jpg,http://rs.tdwg.org/dwc/tdwg_dw_geospatial.xsd | http://wiki.tdwg.org/twiki/bin/view/DarwinCore/GeospatialExtension
Darwin Core Terms: A quick reference guide,,http://rs.tdwg.org/dwc/terms/,"This document is a quick reference for all recommended Darwin Core terms. For complete historical term information, including version changes and pre-standard terms, see [HISTORY]. For a comparative table of elements from pre-standard versions of Darwin Core to the current terms in the standard, see [VERSIONS].",NotDocumented,Vocabulary,information exchange,Published Standard,BiologicalSpeciesEcology,Biodiversity Information Standards (TDWG),,,,,,,,,,Darwin Core Terms: A quick reference guide,vocabulary.jpg,http://rs.tdwg.org/dwc/terms/
Data Catalog Vocabulary (dcat),,http://vocab.deri.ie/dcat,"This document defines an RDF vocabulary for the exchange of data catalogs. Its primary purpose is the expression of government data catalogs, such as data.gov or data.gov.uk, in RDF. It is being produced by the W3C eGovernment Interest Group. This is an early draft. We welcome feedback and discussion.",NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Data Catalog Vocabulary (dcat),vocabulary.jpg,http://vocab.deri.ie/dcat
Data Management Middleware,iPlant,http://www.iplantcollaborative.org/about-iplant/science/cyberinfrastructure-science,"facilities for data federation, data replication, quota management and access control.",Original CIComponent Compilation,Component,Data access,,,iPlant,"Goff et al., 2011, The iPlant collaborative:cyberinfrastructure for plant biology: Frontiers in Plant Scinece, www.frontiersin.org, Volume 2, Article 34, doi: 10.3389/fpls.2011.00034.",HTTP API,,,,,,iRODS,,Data Management Middleware,globe.jpg,"Goff et al., 2011, The iPlant collaborative:cyberinfrastructure for plant biology: Frontiers in Plant Scinece, www.frontiersin.org, Volume 2, Article 34, doi: 10.3389/fpls.2011.00034."
Data Pool,Land Processes Distributed Active Archive Center (LP DAAC),https://lpdaac.usgs.gov/data_access/data_pool,publicly available portion of the LP DAAC online holdings. Data Pool provides a more direct way to access files by foregoing their retrieval from the nearline tape storage devices. All Data Pool holdings are available at no cost to the user. Available datasets include: All MODIS data holdings ASTER Level - 1B data for the U.S. and Territories ASTER Level - 1A and Level - 1B Expedited data All WELD data holdings All NASA SRTM V3.0 data holdings All ASTER GED data holdings,Original CIComponent Compilation,Web site,Data access,,,,,,,,,,,,,Data Pool,globe.jpg,
Data Processing Levels - NASA EOSDIS,,http://science.nasa.gov/earth-science/earth-science-data/data-processing-levels-for-eosdis-data-products/,"EOSDIS data products are processed at various levels ranging from Level 0 to Level 4. Level 0 products are raw data at full instrument resolution. At higher levels, the data are converted into more useful parameters and formats. All EOS instruments must have Level 1 products. Most have products at Levels 2 and 3, and many have products at Level 4.",High level inventory Pivot Viewer,Vocabulary,information exchange,Published Standard,,NASA,,,,,,,,,,Data Processing Levels - NASA EOSDIS,vocabulary.jpg,http://science.nasa.gov/earth-science/earth-science-data/data-processing-levels-for-eosdis-data-products/
DataBib,World Wide Web (WWW),http://databib.org/about.php,"Databib is a tool for helping people identify and locate online repositories of research data. Users and bibliographers create and curate records that describe data repositories that users can search. Databib attempts to address these needs: --What repositories are appropriate for a researcher to submit his or her data to? -- How do users find appropriate data repositories and discover datasets that meet their needs? -- How can librarians help patrons locate and integrate data into their research or learning? for the research community, including: data users, data producers, publishers and professional societies, librarians, research funding agencies",Original CIComponent Compilation,Catalog,data repository management,Operational,,Purdue University Libraries,,web page,,,,,,,,DataBib,icon_catalog.jpg,http://databib.org/about.php
